YEAR,MONTH_NUMBER,MONTH,REPORT_PERIOD,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,COMPLAINT,INITIATED_BY,STATUS,COUNT,LATITUDE,LONGITUDE
2016,3,MARCH,Mar-16,Downtown,1090,2,Citizen,Under Investigation,1,53.53976659,-113.4983796
2016,3,MARCH,Mar-16,Crawford Plains,6140,2,By-law Officer,Under Investigation,1,53.44183746,-113.4062159
2016,3,MARCH,Mar-16,Beaumaris,3040,1,By-law Officer,Under Investigation,1,53.61842234,-113.5050071
2016,3,MARCH,Mar-16,High Park,4200,1,By-law Officer,Under Investigation,2,53.55498578,-113.5841993
2016,3,MARCH,Mar-16,Summerlea,4520,1,By-law Officer,Under Investigation,1,53.52562655,-113.6226333
2016,3,MARCH,Mar-16,Canora,4090,1,By-law Officer,Under Investigation,1,53.54619344,-113.5842146
2016,3,MARCH,Mar-16,Cumberland,3150,1,Citizen,Under Investigation,1,53.61056257,-113.5531881
2016,3,MARCH,Mar-16,Larkspur,6390,1,Citizen,Under Investigation,1,53.48021046,-113.3812399
2016,2,FEBRUARY,Feb-16,Cromdale,1070,1,Citizen,Under Investigation,1,53.55906092,-113.4690431
2016,3,MARCH,Mar-16,Meadowlark Park,4310,1,Citizen,Under Investigation,1,53.52553194,-113.5965542
2016,2,FEBRUARY,Feb-16,Killarney,2420,2,Citizen,Under Investigation,2,53.58848869,-113.4795684
2016,3,MARCH,Mar-16,La Perle,4240,1,Citizen,Under Investigation,1,53.53308755,-113.6407086
2016,3,MARCH,Mar-16,Silver Berry,6442,1,Citizen,Under Investigation,1,53.46115897,-113.3814062
2016,3,MARCH,Mar-16,Secord,4487,1,Citizen,Under Investigation,1,53.5339371,-113.7013528
2016,2,FEBRUARY,Feb-16,Belvedere,2080,1,By-law Officer,Under Investigation,4,53.5910569,-113.4360629
2016,3,MARCH,Mar-16,Ormsby Place,4380,1,Citizen,Under Investigation,1,53.49910557,-113.6427606
2016,2,FEBRUARY,Feb-16,West Jasper Place,4580,2,By-law Officer,Under Investigation,1,53.53662987,-113.5841443
2016,3,MARCH,Mar-16,Glenwood,4180,1,By-law Officer,Under Investigation,2,53.53641656,-113.6027698
2016,2,FEBRUARY,Feb-16,Strathcona,5480,2,By-law Officer,Under Investigation,1,53.52239019,-113.4909856
2016,3,MARCH,Mar-16,Westmount,3440,1,Citizen,Under Investigation,1,53.54998825,-113.5399738
2016,2,FEBRUARY,Feb-16,Schonsee,2700,2,By-law Officer,Under Investigation,1,53.63236258,-113.4551459
2016,3,MARCH,Mar-16,Fraser,2280,1,By-law Officer,Under Investigation,1,53.61111379,-113.3736697
